,image_name,image_label,feat_0,feat_1,feat_2,feat_3,feat_4,feat_5,feat_6,feat_7,feat_8,feat_9
0,BRACS_1231_N_10,0,0.20489523,0.2174508,0.0,0.051342838,0.0,0.35465243,1.2180808,0.86782336,1.3242056,0.1527428
1,BRACS_1231_N_18,0,0.61407876,0.57697433,0.0,0.32651156,0.0,0.76942396,0.8187306,0.43842202,0.91243947,0.34448937
2,BRACS_1231_N_27,0,0.37080538,0.3715267,0.0,0.21857505,0.0,0.47956932,0.9234642,0.77685404,0.81057,0.21481836
3,BRACS_1231_N_28,0,0.5454483,0.50962305,0.0,0.3551752,0.0,0.67296314,0.3922053,0.06655502,0.25159818,0.29815936
4,BRACS_1231_N_32,0,0.23038259,0.21760254,0.0,0.0787455,0.0,0.3205777,1.0698143,0.697158,1.1490471,0.14455652
5,BRACS_1231_N_35,0,0.89934736,0.7910047,0.0,0.5569731,0.0,1.0417529,0.09029146,0.0,0.009537686,0.465026
6,BRACS_1231_N_38,0,0.6776539,0.6096663,0.0,0.4313584,0.0,0.8576697,0.34241506,0.1059466,0.19349039,0.37151653
7,BRACS_1231_N_45,0,2.5430622,1.8702881,0.0,1.5356274,0.0,2.3890405,0.0,0.0,0.023299348,1.1295588
8,BRACS_1231_N_51,0,1.1529664,0.9346439,0.0,0.72680336,0.0,1.1649199,0.1825311,0.0,0.09480962,0.55100495
9,BRACS_1231_N_52,0,0.5177244,0.5031513,0.0,0.32307392,0.0,0.66017723,0.47888902,0.17941242,0.36085543,0.2909544
10,BRACS_1231_N_54,0,0.50940746,0.49134827,0.0,0.26817316,0.0,0.65323776,0.6640996,0.29237717,0.74164414,0.3001459
11,BRACS_1231_N_58,0,0.8731834,0.74352854,0.0,0.54862773,0.0,1.0339491,0.40371263,0.20912255,0.29542303,0.45687732
12,BRACS_1231_N_60,0,0.17731792,0.20143718,0.0,0.072890766,0.0,0.2360208,1.216822,1.0923009,1.1438501,0.11619421
13,BRACS_1231_N_61,0,0.9215211,0.8109495,0.0,0.510435,0.0,1.073052,0.32975134,0.0,0.5613805,0.47437504
14,BRACS_1231_N_8,0,0.22086005,0.24090868,0.0,0.105122164,0.0,0.30665365,1.178786,1.0224459,1.104338,0.13735788
15,BRACS_1235_N_12,0,2.0778437,1.6024643,0.0,1.2093916,0.0,2.042396,0.09547896,0.0,0.305433,0.94664365
16,BRACS_1235_N_25,0,2.398519,1.8188834,0.0,1.3982948,0.0,2.2751749,0.16783002,0.0,0.39180148,1.070442
17,BRACS_1235_N_31,0,1.3733625,1.114247,0.0,0.8366067,0.0,1.4379323,0.031744435,0.0,0.0,0.66860515
18,BRACS_1235_N_32,0,1.733238,1.27892,0.0,1.0416632,0.0,1.793562,0.09371304,0.0,0.13316154,0.82524383
19,BRACS_1235_N_33,0,1.6858948,1.3121337,0.0,1.0081722,0.0,1.6468383,0.38048512,0.0,0.41747728,0.76952475
20,BRACS_1235_N_39,0,1.9133475,1.4289248,0.0,1.1218054,0.0,1.9695998,0.0,0.0,0.0,0.90766907
21,BRACS_1235_N_42,0,1.1138589,0.94508755,0.0,0.6606169,0.0,1.2448262,0.0,0.0,0.0,0.5605456
22,BRACS_1235_N_8,0,0.16117333,0.18029194,0.0,0.05419164,0.0,0.17675412,1.4572837,1.2760016,1.4747396,0.09350682
23,BRACS_1235_N_9,0,0.9647823,0.8113647,0.0,0.57640535,0.0,1.0582769,0.22130267,0.0,0.17420429,0.47458577
24,BRACS_1325_N_1,0,0.6397996,0.57418764,0.0,0.3437596,0.0,0.76136094,0.55577683,0.23521201,0.5741992,0.33588967
25,BRACS_1325_N_10,0,0.8408368,0.70750505,0.0,0.51722544,0.0,0.9521871,0.5151603,0.28568885,0.44867066,0.42716601
26,BRACS_1325_N_11,0,0.38721538,0.37227494,0.0,0.21686979,0.0,0.47392857,0.97196114,0.72428167,0.93783325,0.22120985
27,BRACS_1325_N_13,0,1.2021304,1.0238019,0.0042876154,0.6887556,0.0,1.3555235,0.0,0.0,0.0,0.60520184
28,BRACS_1325_N_4,0,0.842197,0.7508966,0.0026395954,0.48760295,0.0,1.0096387,0.08487832,0.0,0.04671136,0.44111922
29,BRACS_1325_N_5,0,1.772834,1.417271,0.0,0.995446,0.0,1.8740014,0.0,0.0,0.11676043,0.8401319
30,BRACS_1325_N_6,0,0.8551237,0.76514477,0.0033914894,0.4997936,0.0,1.0260915,0.06623886,0.0,0.02423888,0.45020923
31,BRACS_1325_N_7,0,1.3671817,1.0689529,0.0,0.83952016,0.0,1.365856,0.13004623,0.0,0.11977081,0.64548326
32,BRACS_1325_N_8,0,1.387862,1.1001097,0.0,0.7991015,0.0,1.5074888,0.12540661,0.0,0.17513594,0.67167383
33,BRACS_1485_N_1,0,1.6051846,1.250692,0.0,0.9665547,0.0,1.5839736,0.20773461,0.0,0.20860645,0.7454694
34,BRACS_1485_N_2,0,0.8020905,0.67181766,0.0,0.4746241,0.0,0.89455885,0.4387763,0.0826564,0.38702044,0.40270168
35,BRACS_1485_N_3,0,1.0808171,0.86380357,0.0,0.64678204,0.0,1.1981392,0.28306,0.0,0.293113,0.5294477
36,BRACS_1485_N_4,0,2.1185446,1.5688956,0.0,1.1978698,0.0,2.2003412,0.0,0.0,0.08351922,0.9881434
37,BRACS_1485_N_5,0,1.7527553,1.3271068,0.0,1.0883994,0.0,1.7242888,0.17657101,0.0,0.13545531,0.8131984
38,BRACS_1485_N_6,0,1.5285826,1.0880419,0.0,0.94864744,0.0,1.606198,0.3104036,0.0,0.3019065,0.73420227
39,BRACS_1485_N_7,0,1.2138036,0.9032503,0.0,0.78282344,0.0,1.3693349,0.36108455,0.061995022,0.27889562,0.61264646
40,BRACS_1494_N_21,0,0.6817165,0.59207076,0.0,0.38251394,0.0,0.7845528,0.5603198,0.25992313,0.56143725,0.3486035
41,BRACS_1494_N_54,0,1.3474636,1.0656915,0.0,0.8300088,0.0,1.3892492,0.18697998,0.0,0.16216645,0.64311594
42,BRACS_1508_N_1,0,3.0327775,2.2311168,0.0,1.820077,0.0,2.8259244,0.0,0.0,0.0,1.3625298
