,image_name,image_label,feat_0,feat_1,feat_2,feat_3,feat_4,feat_5,feat_6,feat_7,feat_8,feat_9,feat_10,feat_11,feat_12,feat_13,feat_14,feat_15,feat_16,feat_17,feat_18,feat_19,feat_20,feat_21,feat_22,feat_23,feat_24,feat_25,feat_26,feat_27,feat_28,feat_29,feat_30,feat_31,feat_32,feat_33,feat_34,feat_35,feat_36,feat_37,feat_38,feat_39,feat_40,feat_41,feat_42,feat_43,feat_44,feat_45,feat_46,feat_47,feat_48,feat_49,feat_50,feat_51,feat_52,feat_53,feat_54,feat_55,feat_56,feat_57,feat_58,feat_59,feat_60,feat_61,feat_62,feat_63
0,BRACS_1231_PB_11,0,0.9083089,0.54526836,0.22186854,0.2791466,0.94733065,1.0412701,0.09653294,0.99277705,0.74814546,0.011200058,0.36103764,0.70348185,0.064859696,0.52907646,0.1703536,0.5448932,0.8282013,0.13915478,0.22204043,0.18126203,0.0005099778,0.22860473,0.12678614,0.13694206,0.69323605,1.0424528,0.10874658,0.53699327,0.092017524,1.1006547,1.2993695,0.56843984,0.112305485,0.538211,0.51837766,1.3468095,0.5635013,0.8782926,0.79842097,0.00541927,0.9409329,0.15262283,0.008850718,0.7540126,-0.0043251333,0.21472247,0.15487193,1.1704373,1.074641,0.0006699837,0.94744533,1.4236594,0.3799705,0.5006672,0.49127188,0.1078729,0.6641177,0.022732768,0.6718866,0.3767991,0.6792856,0.10999971,0.50058335,0.29156736
1,BRACS_1231_PB_12,0,1.2932518,0.42807683,0.19069923,0.35811454,1.0479913,0.83971995,0.32120925,0.65145075,0.65683496,0.09611434,0.13041398,1.040061,0.30239415,0.29372174,0.34432077,0.7020353,0.7238554,0.15860485,0.33148512,0.27910903,0.05269078,0.14887154,0.04477007,0.16158757,0.49113172,0.8904808,0.409784,0.5517925,0.17333718,0.70169896,1.075648,0.48846832,0.3245884,0.53463614,0.6769869,1.5721858,0.31704703,0.8476632,0.7597798,0.11323734,1.2923576,0.1385179,0.15916613,0.67056745,-0.00051491923,0.16828296,0.31250873,0.7733301,1.326623,0.08121738,0.7284551,1.4354936,0.527594,0.46312404,0.25576687,0.1947973,1.0826081,0.09725727,0.7276357,0.22513679,0.61330825,0.23231307,0.76210684,0.23720126
2,BRACS_1231_PB_13,0,1.5034795,0.3985276,0.15961508,1.1127963,0.6272539,0.7630087,0.514047,0.5691691,0.3488072,2.335798,0.13882716,0.1931863,1.258081,0.26356727,1.0038437,0.298378,0.4069726,0.46712703,0.47069246,0.106660746,0.3705324,0.4829769,0.94207174,0.5207713,0.45668516,0.8773646,1.1039572,0.20900989,0.19182758,0.5811313,0.2513051,0.34976536,0.3882689,0.2910164,0.1666194,0.82808864,0.22124091,0.42853144,0.20213473,0.13949269,0.4391282,0.58493656,1.307685,0.48126742,0.48696828,0.08860051,0.5323927,0.7196291,0.6880957,1.2303767,0.4598465,0.83597493,0.90661454,0.5554112,0.15979978,1.2035261,1.0547847,1.6823306,0.87218946,0.13968518,0.7803346,0.4670082,0.21574186,0.07825705
3,BRACS_1231_PB_14,0,3.0861056,1.4775941,0.85240215,0.91824645,1.5749862,3.011884,0.4478769,0.934835,0.75002724,0.005264269,0.09478045,1.5891114,0.27398327,0.1414065,0.60412174,1.0425047,1.8527442,0.3504264,0.69836193,0.44374946,0.020411585,0.21390001,0.15036799,0.13174555,0.63504136,2.3334687,0.27692354,1.0043353,0.33805504,1.3068172,1.6947997,0.9867001,0.35047764,0.74360913,1.3532611,4.1374702,0.46294525,2.092369,1.1781691,0.084029816,2.179121,0.24863288,0.115238935,0.7973819,-0.0178046,0.41119614,0.5046097,1.359699,2.291515,0.011369239,1.0354277,2.6081066,1.1094295,1.4341753,0.320051,0.52125555,2.319673,-0.017351188,1.2902237,0.38721254,2.1404665,0.23405923,1.346192,0.4349766
4,BRACS_1231_PB_16,0,2.5348005,-0.03725139,0.62207204,3.8209877,0.40336096,0.14184146,1.1876975,-0.07013179,-0.046474297,9.889708,-0.03429869,0.48668814,5.2573934,-0.07544314,2.4744253,1.7391047,-0.024559515,0.7750418,1.4532285,0.4949524,1.1658545,0.53715396,4.714328,1.5466568,-0.03621395,-0.020614687,5.0875325,-0.026421145,0.9637176,-0.061568897,-0.06576362,0.003798224,1.4262191,0.16009617,0.23534584,0.9010492,-0.04882333,-0.053752724,0.0066210073,0.23717438,0.46472543,1.1725475,4.9190807,-0.0013862302,2.3329022,0.08466939,2.9908547,-0.100745566,0.50769025,4.9475346,-0.060200717,-0.014090229,3.1913958,0.105593495,-0.02672228,4.3664055,2.1340208,8.03635,2.130986,-0.044301793,1.5143094,4.0299683,0.6142894,-0.019280419
5,BRACS_1231_PB_17,0,1.0475532,0.531435,0.21937756,0.60043824,1.0374384,0.7615261,0.2599198,1.6477278,1.0772884,0.04602896,0.3317786,0.7278233,0.11700995,0.815954,0.400791,0.57527125,1.3656976,0.07611311,0.33270442,0.23995331,0.23362648,0.46397355,0.07337921,0.09495009,1.0876341,1.6217501,0.12043606,1.1805453,0.15665407,1.8866829,1.2612611,0.50448626,0.25899866,0.42105597,0.5267854,1.7049257,0.8639302,1.091958,0.9394696,0.13073032,0.9943915,0.6416256,0.09246932,1.1878842,0.107220486,0.47735918,0.13344489,1.9021162,1.6332686,0.050687835,1.4002628,1.9638413,0.29174632,0.47539604,0.34937945,0.17812394,0.5729002,0.060068656,1.1996436,0.48383552,0.56138206,0.13773756,0.71481967,0.31278285
6,BRACS_1231_PB_19,0,0.4798448,0.4333517,0.10128208,0.067882255,0.54202354,0.6261164,0.11564736,0.5085778,0.43056288,0.32770234,0.3143713,0.45726937,0.24173975,0.42077747,0.1652216,0.45966178,0.22844048,0.12160574,0.28813568,0.16500078,0.13763598,0.11859983,0.19637524,0.14873378,0.3070981,0.5727917,0.27208588,0.21495199,0.11763277,0.41231427,0.5787182,0.5249522,0.17482667,0.40461367,0.2569023,0.5362869,0.2658619,0.43451017,0.34824848,0.034861773,0.43475682,0.0805966,0.14664598,0.39551595,0.09798573,0.01626144,0.19885223,0.5293334,0.39291838,0.12075844,0.51967704,0.5332988,0.21846959,0.2802721,0.2633652,0.1405684,0.41681617,0.21790878,0.3004361,0.19384965,0.58320653,0.2069464,0.20395863,0.11235
7,BRACS_1231_PB_20,0,1.2847158,0.3480607,0.22687717,0.66303104,1.1996115,0.69257116,0.283362,1.5790007,1.138854,0.22130194,0.117021255,0.82190585,0.24691239,0.56953865,0.4615881,0.5256602,1.3430774,0.102594696,0.31435618,0.22585596,0.09702559,0.45244044,0.15264742,0.14690222,1.0972438,1.7101004,0.28270477,1.2110707,0.16171727,1.8518085,1.2878908,0.3925181,0.29244995,0.41913447,0.62145996,1.8060364,0.8203854,1.0537361,1.0023384,0.08558399,1.2203331,0.5993524,0.1869954,1.2636082,0.07774937,0.49626237,0.30239555,1.8669213,1.992463,0.11867992,1.405354,2.2371535,0.40393195,0.4138531,0.26982805,0.2877541,0.7053351,0.17734885,1.3543051,0.38338423,0.53954726,0.18738312,0.7713685,0.33876726
8,BRACS_1231_PB_22,0,0.41556314,0.36306486,0.06043298,0.12514472,0.65934426,0.49318966,0.13619927,0.9598734,0.7936698,0.1128436,0.32319796,0.55852634,0.1770234,0.6688992,0.09698588,0.38634184,0.50659794,0.10924826,0.23391287,0.20151682,0.12838657,0.21318036,0.10629757,0.1636682,0.6292604,0.68883187,0.20124617,0.5081553,0.08509476,0.86375445,0.76916975,0.38458872,0.2197669,0.3816871,0.35100484,0.64079666,0.47744098,0.51633877,0.55117464,0.026624028,0.54008573,0.11319005,0.11874998,0.704258,0.020029062,0.10861599,0.16318756,0.96187973,0.82339835,0.065284275,0.9201952,0.9239957,0.12708119,0.20080002,0.32682183,0.087799385,0.27401134,0.12650765,0.47762218,0.3141338,0.42600286,0.09306736,0.44349444,0.17537843
9,BRACS_1231_PB_24,0,0.58639497,0.476952,0.10722392,0.22556609,0.7847446,0.6703175,0.1708502,1.1527925,0.8417056,0.17358491,0.30438098,0.5211129,0.17430791,0.6739474,0.20756932,0.37426892,0.6736046,0.075083725,0.2640158,0.1499926,0.07816534,0.27710235,0.13620114,0.12809236,0.7383508,1.0004008,0.20055081,0.6674505,0.11177233,1.1514635,0.9239467,0.3880289,0.19468877,0.4143855,0.37852052,0.8430567,0.60735357,0.7030113,0.64051443,0.06389117,0.63263845,0.27718547,0.11739844,0.83363885,0.057037663,0.19404626,0.17935193,1.2305782,0.93574584,0.08791197,1.0127709,1.1845676,0.17534478,0.29945952,0.31705862,0.112345345,0.4142199,0.1515455,0.6960706,0.3338332,0.5459251,0.15832147,0.41256204,0.19880071
