,image_name,image_label,feat_0,feat_1,feat_2,feat_3,feat_4,feat_5,feat_6,feat_7,feat_8,feat_9,feat_10,feat_11,feat_12,feat_13,feat_14,feat_15,feat_16,feat_17,feat_18,feat_19
0,BRACS_1231_N_10,0,0.0,0.0,0.0,0.0,0.1378445,0.0,0.16363874,0.0,0.0,0.12217994,0.14397727,0.0,0.04884235,0.0,1.031245,0.15902148,0.0,0.22416633,0.80587804,0.06688303
1,BRACS_1231_N_18,0,0.0,0.0,0.09841788,0.0,0.0,0.0,0.0,0.0,0.0,0.27667096,0.39095938,0.0,0.0,0.0,1.7023909,0.0,0.21251379,0.12356004,1.1147997,0.0
2,BRACS_1231_N_27,0,0.0,0.0,0.041402176,0.0,0.0,0.0,0.0,0.0,0.0,0.18174747,0.22136594,0.0,0.0,0.0,1.5527772,0.0,0.0,0.34827736,1.1856699,0.0
3,BRACS_1231_N_28,0,0.0,0.0,0.0,0.0,0.13732845,0.0,0.13413249,0.0,0.0,0.08923185,0.12964667,0.0,0.04464555,0.0,0.9745135,0.13639075,0.0,0.17002234,0.80176336,0.11301966
4,BRACS_1231_N_32,0,0.0,0.0,0.0,0.0,0.026307397,0.0,0.08766113,0.0,0.0,0.09501216,0.15084027,0.0,0.0,0.0,1.0313723,0.086698376,0.0,0.20498833,0.8451879,0.0
5,BRACS_1231_N_35,0,0.0,0.0,0.07017933,0.0,0.0,0.0,0.0,0.0,0.0,0.18494186,0.19098201,0.0,0.0,0.0,1.5706108,0.0,0.0,0.43983942,1.3012404,0.0
6,BRACS_1231_N_38,0,0.0,0.0,0.049896628,0.0,0.0,0.0,0.0,0.0,0.0,0.21659046,0.20458347,0.0,0.0,0.0,1.8258613,0.0,0.0,0.53270304,1.4639719,0.0
7,BRACS_1231_N_45,0,0.0,0.0,0.17641392,0.0,0.0,0.0,0.0,0.0,0.0,0.34469697,0.49165297,0.0,0.0,0.0,2.9764864,0.0,0.5552395,0.6087918,2.4450667,0.0
8,BRACS_1231_N_51,0,0.0,0.0,0.09466128,0.0,0.0,0.0,0.0,0.0,0.0,0.14830287,0.2155483,0.0,0.0,0.0,1.4641525,0.0,0.32360852,0.311543,1.2771922,0.0
9,BRACS_1231_N_52,0,0.0,0.0,0.023870446,0.0,0.016520273,0.0,0.0,0.0,0.0,0.14643604,0.15319869,0.0,0.0,0.0,1.2630992,0.01770208,0.0,0.30002442,0.99561185,0.0
10,BRACS_1231_N_54,0,0.0,0.0,0.05218909,0.0,0.0,0.0,0.0,0.0,0.0,0.1604689,0.21741498,0.0,0.0,0.0,1.4630193,0.0,0.06179486,0.34840986,1.1356664,0.0
11,BRACS_1231_N_58,0,0.0,0.0,0.049091674,0.0,0.053667907,0.0,0.0,0.0,0.0,0.22491904,0.19540669,0.0,0.0,0.0,1.7703975,0.0,0.0,0.46253413,1.463174,0.0
12,BRACS_1231_N_60,0,0.0,0.0,0.010705981,0.0,0.0,0.0,0.0,0.0,0.0,0.17038083,0.15409271,0.0,0.0,0.0,1.3722374,0.0,0.0,0.36489922,1.0657334,0.0
13,BRACS_1231_N_61,0,0.0,0.0,0.11996834,0.0,0.0,0.0,0.0,0.0,0.0,0.29100397,0.41570953,0.0,0.0,0.0,1.8306893,0.0,0.18705517,0.13931143,1.146637,0.0
14,BRACS_1231_N_8,0,0.0,0.0,0.012199987,0.0,0.09874126,0.0,0.06917456,0.0,0.0,0.1320712,0.16352102,0.0,0.0,0.0,1.1764239,0.09976186,0.0,0.2618668,0.9877222,0.0
15,BRACS_1235_N_12,0,0.0,0.0,0.066987455,0.0,0.044352822,0.0,0.18075497,0.0,0.0,0.16178969,0.32001844,0.0,0.0,0.0,1.6275944,0.136852,0.26332638,0.16498873,1.2596228,0.07470004
16,BRACS_1235_N_25,0,0.08293275,0.0,0.08851752,0.0,0.13784003,0.0,0.35263774,0.0,0.0,0.19919424,0.3614658,0.0,0.0,0.0,1.6663609,0.21585037,0.40547204,0.10101748,1.2741386,0.15344414
17,BRACS_1235_N_31,0,0.0,0.0,0.10885541,0.0,0.0,0.0,0.0,0.0,0.0,0.19574432,0.25025433,0.0,0.0,0.0,1.7360814,0.0,0.114909574,0.42349455,1.5314989,0.0
18,BRACS_1235_N_32,0,0.22455299,0.0,0.0,0.0,0.38059992,0.0,0.38636062,0.0,0.0,0.14360994,0.19512193,0.0,0.16060469,0.0,1.3390826,0.29739434,0.0,0.21005969,1.0777463,0.335897
19,BRACS_1235_N_33,0,0.31669906,0.0,0.028482504,0.0,0.38772652,0.0,0.49127483,0.0,0.0,0.14321369,0.2884599,0.0,0.06507548,0.0,1.4778807,0.34221476,0.26244503,0.0803424,1.1758978,0.37880978
20,BRACS_1235_N_39,0,0.0,0.0,0.0669981,0.0,0.0,0.0,0.0,0.0,0.0,0.16584848,0.21101174,0.0,0.0,0.0,1.5597388,0.0,0.0,0.3944217,1.3468084,0.0
21,BRACS_1235_N_42,0,0.0,0.0,0.045873664,0.0,0.0,0.0,0.0,0.0,0.0,0.15190384,0.18025605,0.0,0.0,0.0,1.4197958,0.0,0.0,0.39149022,1.1903898,0.0
22,BRACS_1235_N_8,0,0.10811987,0.0,0.0031767152,0.0,0.22131692,0.0,0.2730063,0.0,0.0,0.117786646,0.16215952,0.0,0.058527693,0.0,1.0994697,0.19317578,0.0,0.19855976,0.9921652,0.11628929
23,BRACS_1235_N_9,0,0.0,0.0,0.04733569,0.0,0.0,0.0,0.0,0.0,0.0,0.12323426,0.19171625,0.0,0.0,0.0,1.2974459,0.0,0.06694305,0.28537667,1.1389452,0.0
24,BRACS_1325_N_1,0,0.054441445,0.0,0.010489643,0.0,0.08137049,0.0,0.20461974,0.0,0.0,0.12862249,0.22244844,0.0,0.0,0.0,1.2363746,0.1714635,0.0,0.15085891,0.8999553,0.069647685
25,BRACS_1325_N_10,0,0.2240395,0.0,0.0,0.0,0.34056383,0.0,0.37271538,0.0,0.0,0.11651476,0.1669132,0.0,0.13479453,0.0,1.1833961,0.29686636,0.0,0.1825994,0.95241463,0.34176067
26,BRACS_1325_N_11,0,0.0,0.0,0.0150490105,0.0,0.024875954,0.0,0.0036972323,0.0,0.0,0.11712566,0.17309603,0.0,0.0,0.0,1.2065933,0.032853186,0.016346984,0.25472033,1.0016588,0.0
