,image_name,image_label,feat_0,feat_1,feat_2,feat_3,feat_4,feat_5,feat_6,feat_7,feat_8,feat_9,feat_10,feat_11,feat_12,feat_13,feat_14,feat_15,feat_16,feat_17,feat_18,feat_19,feat_20,feat_21,feat_22,feat_23,feat_24,feat_25,feat_26,feat_27,feat_28,feat_29,feat_30,feat_31,feat_32,feat_33,feat_34,feat_35,feat_36,feat_37,feat_38,feat_39,feat_40,feat_41,feat_42,feat_43,feat_44,feat_45,feat_46,feat_47,feat_48,feat_49,feat_50,feat_51,feat_52,feat_53,feat_54,feat_55,feat_56,feat_57,feat_58,feat_59,feat_60,feat_61,feat_62,feat_63
0,BRACS_1487_FEA_15,1,0.090212844,0.059762225,0.99472713,0.15844624,0.56508315,0.15425442,0.15765555,0.1686644,1.0570445,0.6053301,0.14545964,0.22128281,1.1900847,0.123945184,0.14459102,0.6545607,0.5722196,0.07412522,1.1449802,0.8722346,0.11532907,0.111013025,0.41341355,0.16634347,0.18377991,0.17347448,0.5296793,0.4643836,0.20778808,0.12363341,0.15514104,0.21535161,0.9408929,0.395018,1.142283,0.6055405,0.22039849,0.18135132,0.69416994,0.17004567,0.65330315,0.73194695,0.06614796,1.1719215,0.20202342,0.22569853,0.35224766,0.12769271,0.28684896,0.59144825,0.983553,0.37384006,1.0485271,0.7580512,0.22361065,0.6649849,0.8809411,0.23692964,0.80256647,0.23583241,0.07145035,0.13447332,0.22910343,0.1497746
1,BRACS_1487_FEA_16,1,-0.00036805728,0.043449905,0.07246334,0.13812387,0.23424205,0.14932792,0.0032534713,0.31944308,0.22755271,0.1487324,0.045599155,0.09390551,0.2565325,0.3002035,0.110198565,0.16188487,0.09701294,0.10335485,0.13293514,0.13168113,0.100927524,0.08427037,0.11065308,0.27378792,0.34838063,0.21985392,0.067428194,0.084007986,0.071072236,0.41721138,0.20541196,0.31859964,0.5394503,0.1982412,0.28117886,0.37560803,0.44234285,0.35255837,0.08171038,0.009901656,0.11789111,0.28818864,0.16225016,0.11640443,0.31890777,0.07822902,0.0039404673,0.16777468,0.26159126,0.14715356,0.07601506,0.15453923,0.13434567,0.0323935,0.020786412,0.28065214,0.1587593,0.009375955,0.10803658,0.024858154,0.11295284,0.45452908,0.31930926,0.13060187
2,BRACS_1487_FEA_19,1,0.0014762315,0.14114034,0.02116989,0.42873058,0.15784276,0.31563863,0.0032394503,0.5392348,0.1239571,0.10634831,0.13943666,0.084477074,0.15052338,0.44845942,0.11922343,0.10745575,0.046150543,0.15069123,0.055383608,0.040047545,0.13335325,0.27100572,0.08280426,0.4955247,0.50492626,0.26330948,0.01826338,0.04973949,0.109629266,0.52835447,0.38535124,0.24464394,0.38834888,0.12884362,0.14923476,0.23805119,0.74668,0.66050416,0.031758346,0.014600225,0.06058659,0.21126218,0.27163482,0.03252042,0.4500737,0.24361144,0.0012552724,0.3870644,0.19425668,0.087246954,0.029534662,0.120065436,0.05941038,0.011964565,0.011013583,0.19023587,0.09952906,0.01997219,0.06413446,0.080824174,0.1726572,0.7899236,0.5077687,0.36863223
3,BRACS_1487_FEA_22,1,0.011472892,0.04928901,0.16087462,0.21988577,0.1377651,0.252544,0.0036302686,0.29326558,0.21812582,0.11732066,0.1281887,0.0953407,0.29655412,0.38001812,0.11394649,0.11963561,0.1121844,0.08636549,0.20297144,0.13059711,0.15904735,0.18955526,0.10405005,0.32324576,0.36950186,0.25223878,0.06862807,0.14662157,0.124445766,0.45809272,0.3025321,0.18800913,0.42093423,0.19488813,0.2962733,0.19385639,0.37914494,0.44488725,0.107468486,0.032279603,0.19306326,0.30439183,0.22311229,0.19861847,0.3244374,0.19401067,0.015148369,0.21357948,0.17044976,0.18788119,0.12651835,0.14384252,0.24486533,0.05425391,0.03435758,0.25305822,0.1667675,0.043014854,0.18680102,0.11901362,0.13159662,0.5196585,0.32728633,0.21800633
4,BRACS_1487_FEA_23,1,0.0064194975,0.16049959,0.07384268,0.48472872,0.09016124,0.35384554,0.0020550988,0.5865119,0.1341949,0.063639924,0.23299508,0.12686525,0.14522226,0.53417265,0.223187,0.09373754,0.06063058,0.1840204,0.09891103,0.087041676,0.15945257,0.36785698,0.07125217,0.5456446,0.6407427,0.41768926,0.04779819,0.077694766,0.22050406,0.6178871,0.48051527,0.29928815,0.24250002,0.10542573,0.16548853,0.15704273,0.8209062,0.7425913,0.055347785,0.026650326,0.07635466,0.15933833,0.35011485,0.08549625,0.55983436,0.3141732,0.011601185,0.43178952,0.10074988,0.09200151,0.05621167,0.08363125,0.117129415,0.031369295,0.021059811,0.14072777,0.09784517,0.042527206,0.07151251,0.08210823,0.17564489,0.84445673,0.6243108,0.45417157
5,BRACS_1487_FEA_26,1,0.010350021,0.029515633,0.20812044,0.1107381,0.29749995,0.12834777,0.0019624175,0.26639718,0.39989623,0.18321352,0.03480739,0.07306924,0.4450328,0.24327423,0.09511525,0.256989,0.2154526,0.08362012,0.33378163,0.2617746,0.09660182,0.108169846,0.1932126,0.23635028,0.2742571,0.1890115,0.13378711,0.17673734,0.061841015,0.35862085,0.18531875,0.25918588,0.6732214,0.25555143,0.5340788,0.39419407,0.36025563,0.3209493,0.17961432,0.028237293,0.27290046,0.41998023,0.16000779,0.27268398,0.25774994,0.08656635,0.041607622,0.11990578,0.2961699,0.28506568,0.2015842,0.25152034,0.30447897,0.0836249,0.038165804,0.40000388,0.21957383,0.025539307,0.23916802,0.06450778,0.08449907,0.378392,0.26407763,0.13024683
6,BRACS_1487_FEA_33,1,0.015262635,0.14891694,0.08387025,0.35582015,0.084387444,0.23427315,0.007224763,0.51631284,0.11868961,0.10274404,0.16456465,0.10953238,0.1537931,0.38072133,0.18273765,0.078953244,0.074859425,0.16967124,0.069706656,0.082664035,0.12041418,0.22688939,0.055775415,0.43499476,0.57702374,0.3299059,0.045696408,0.06855156,0.17131497,0.5324876,0.3624476,0.28572297,0.31465644,0.0979869,0.1422633,0.16540706,0.68889344,0.5948684,0.042932384,0.010966134,0.063500375,0.15911157,0.25711927,0.04983021,0.45269856,0.18802951,0.02840352,0.32427284,0.13511887,0.07118128,0.03921823,0.06766548,0.07502131,0.047464117,0.031074377,0.16449751,0.11682215,0.05627367,0.07970147,0.06725818,0.1346777,0.6568724,0.49705034,0.31352234
7,BRACS_1487_FEA_6,1,-0.0016700916,0.06260349,0.0050024823,0.2687637,0.18964605,0.0975515,0.0078016273,0.49093044,0.13333783,0.19027399,0.05197787,0.078604616,0.14546363,0.23275645,0.14633016,0.087499365,0.046473224,0.1514002,0.029862847,0.027927045,0.04723243,0.1084466,0.058996744,0.33193904,0.5144912,0.20355621,0.0125445975,0.04192816,0.06412382,0.42690617,0.1492307,0.3196661,0.572128,0.1916879,0.14485608,0.33863854,0.69089925,0.48684508,0.023247072,0.009374045,0.072602116,0.29818752,0.12942801,-0.0008499365,0.37430534,0.055568844,-0.0032464482,0.23863478,0.29484886,0.07673963,0.014439995,0.102194384,0.017710088,0.00089801184,0.0062145265,0.31951487,0.14767008,-0.0017518969,0.107126966,0.026821189,0.11423684,0.6849063,0.4335289,0.18639125
8,BRACS_1496_FEA_13,1,0.013378997,0.2410718,0.075308725,0.6614393,0.019113155,0.48468623,0.002354067,0.749266,0.013348789,0.03031632,0.3223315,0.08857762,0.025475688,0.668668,0.22314742,0.010157916,0.033469103,0.20786846,0.003870226,0.025191534,0.2368465,0.50689644,0.0042692022,0.7134712,0.7636333,0.43623534,0.027794246,0.047781263,0.26071745,0.76461506,0.60618204,0.2042935,0.08538546,0.034747954,0.010278578,0.07253456,1.02136,0.95221037,0.0090240305,0.05077922,0.0051788157,0.040708467,0.4277571,0.0062695416,0.6622551,0.4899538,0.024569372,0.57657236,0.038716163,0.006200941,0.0028135143,0.009447632,0.037578557,0.042432006,0.028108856,0.024722151,0.089270964,0.06401142,0.013936267,0.12968524,0.28499305,1.0743012,0.7757646,0.6377358
9,BRACS_1509_FEA_10,1,0.063197054,0.028194917,0.6354306,0.061068136,0.40580717,0.0843866,0.022006322,0.14435051,0.7468224,0.26811653,0.07703489,0.13404799,0.7677977,0.15263005,0.12258577,0.5420774,0.44988495,0.07190796,0.76361823,0.63520455,0.0859429,0.0659009,0.3538756,0.17053384,0.23893216,0.2066742,0.36071026,0.3699052,0.15281214,0.22842002,0.14256626,0.2250529,0.89228684,0.36506823,0.9540559,0.43857548,0.21687467,0.16176784,0.35900375,0.041183855,0.5767336,0.6166317,0.12352219,0.631513,0.2353589,0.10213858,0.14538251,0.07450348,0.30067515,0.5342944,0.49564254,0.41449237,0.6450268,0.2981735,0.1421895,0.6251307,0.45867857,0.11625184,0.52211595,0.11641494,0.05017089,0.1508142,0.2423589,0.06800011
