,image_name,image_label,feat_0,feat_1,feat_2,feat_3,feat_4,feat_5,feat_6,feat_7,feat_8,feat_9,feat_10,feat_11,feat_12,feat_13,feat_14,feat_15,feat_16,feat_17,feat_18,feat_19,feat_20,feat_21,feat_22,feat_23,feat_24,feat_25,feat_26,feat_27,feat_28,feat_29,feat_30,feat_31,feat_32,feat_33,feat_34,feat_35,feat_36,feat_37,feat_38,feat_39,feat_40,feat_41,feat_42,feat_43,feat_44,feat_45,feat_46,feat_47,feat_48,feat_49,feat_50,feat_51,feat_52,feat_53,feat_54,feat_55,feat_56,feat_57,feat_58,feat_59,feat_60,feat_61,feat_62,feat_63
0,BRACS_1231_N_10,0,0.021095516,0.021384673,0.2276943,0.3332335,0.11161975,-0.006842975,0.11520745,0.45027146,0.02608023,0.2422677,0.06303893,0.017086927,-0.0055487864,0.057449564,0.063610904,0.75391454,0.022041157,-0.004067601,0.02087925,0.00738066,0.03178676,0.0008273495,-0.00055333733,0.041207224,0.0019718588,0.7446076,-0.00081280747,0.04428316,0.06599896,0.51446813,0.042126138,0.049627542,0.12237838,0.036083262,0.6068643,0.013484128,0.023629019,0.029745014,-0.003655344,0.00082253333,0.12806706,0.013922273,0.035870448,0.42880857,0.25580618,0.012234756,0.040409792,0.38334262,0.3366405,0.0810957,0.046289623,0.025303654,0.16317199,0.028115544,0.64353126,0.028773347,0.020891389,0.43452322,0.30337957,0.40046653,-0.0031825064,-0.0019113618,-0.0033805019,-0.0018036611
1,BRACS_1231_N_18,0,0.042209335,-0.01092698,0.2964344,0.626283,0.18521678,-0.011026455,0.089899056,0.59805685,0.039472148,0.28310704,0.15553316,0.0237675,-0.009883186,0.09281119,0.09242375,1.0557755,0.028115856,0.0016816023,0.0380109,-0.006505402,0.075067826,0.0120062735,-0.00031384232,0.08078291,-0.0026480232,1.1025914,-0.00038972963,0.060589053,0.24563594,0.580006,0.07166392,0.043583486,0.1632622,0.051244218,0.79169065,0.018891111,0.0019851017,0.02998746,-0.0057577854,0.04064847,0.13858706,0.016951872,0.0766675,0.6408505,0.36935923,0.026272252,0.017344743,0.4228411,0.3623724,0.062042233,0.11245086,0.03478856,0.20793861,0.047288984,0.66983956,0.041219935,0.012504796,0.5308615,0.37280583,0.77411115,-0.005645848,-0.003120799,-0.005067662,-0.0049008727
2,BRACS_1231_N_27,0,-0.00548515,0.06319973,0.48218295,0.6829462,0.2512266,-0.009386511,0.3204653,0.3549691,-0.008529006,0.10565413,0.23784602,-0.0113776615,-0.008701168,0.010014499,0.013742598,0.6420904,-0.009090834,-0.0012045646,0.017290926,-0.0005886851,0.29300386,0.14960732,-0.0006484152,-0.0025864986,0.0020393091,0.9576887,-0.0005590125,0.013202264,0.1970236,0.23948097,0.19339615,0.029167807,0.45840955,-0.002365119,0.4442078,0.0011501738,0.054085184,0.015566521,-0.004708028,0.017063415,0.061681014,-0.0015888816,0.0064533795,0.64230174,0.294107,-0.005769028,0.03919903,0.18435954,0.07056226,0.057634134,0.031048412,0.022615042,0.22341321,0.0101192035,0.5991335,0.007554407,0.0024686793,0.2810631,0.15065467,0.96235496,-0.00041104938,-0.0029819522,-0.0059800684,0.017075991
3,BRACS_1231_N_28,0,0.001869036,0.0064412393,0.18195228,0.5838351,0.012914446,-0.011725491,0.12212978,0.24113564,0.041271448,0.20333146,0.23901081,0.016890615,-0.008868358,0.039876916,0.035303835,0.37713164,0.020333868,-0.0051258057,0.040746246,-0.007666492,-0.00048041463,-0.0034120053,-0.0007722484,0.025004912,-0.0032885242,0.46715805,-0.0005742414,0.03892011,0.1959198,0.5001809,0.05944429,0.05545249,0.19410217,0.051204726,0.54883295,-0.002772443,0.0076494855,0.02808645,-0.006643657,-0.002670105,0.0566575,0.013032529,0.04565634,0.4813573,0.005560279,0.022049597,0.027514473,0.17147304,0.34106123,0.07158841,0.013785953,0.02364507,0.14578693,0.03184639,0.4972673,0.03209532,0.010954726,0.17469755,0.3105357,0.409739,-0.0059620976,-0.0036982847,-0.008195567,-0.004956957
4,BRACS_1231_N_32,0,0.0058458922,0.03615784,0.19011804,0.44477758,0.2792728,-0.0027109424,0.082215406,0.51033854,0.024628159,0.11432842,0.068157405,0.0038366348,-0.00097330386,0.03206903,0.034625318,0.86685896,0.005589565,-0.0035430146,0.018547192,0.014567247,0.20624526,0.0909945,-0.0005149132,0.022814626,0.024175813,0.9109974,-0.00063889753,0.03215189,0.07384839,0.25650778,0.043586053,0.028224148,0.119333856,0.044198588,0.29365453,0.009461146,0.07635417,0.01431986,-0.0036664996,0.025237747,0.13055082,0.0034584207,0.026739456,0.23977207,0.3490857,0.007231034,0.037975524,0.2891746,0.15419121,0.06434664,0.021415424,0.025314126,0.07747724,0.039164763,0.41097048,0.011502554,0.10793559,0.36827257,0.13798973,0.66220146,0.012605509,0.0024016574,-0.005194851,0.0024393757
5,BRACS_1231_N_35,0,0.00026310532,0.0107555995,0.11798812,0.4714945,0.020505877,-0.01100118,0.13086803,0.09262319,0.055099234,0.10712504,0.30899385,0.00850692,-0.0056060175,0.030977974,0.01940109,0.095759,0.018187914,0.001797228,0.038980417,-0.0029556404,-0.0027623186,-0.0040319357,-0.00071735337,0.008420676,-0.0015003793,0.1725693,-0.00035799757,0.032974627,0.16890608,0.29868138,0.034120556,0.044743434,0.23806572,0.06381147,0.31460664,0.0044294973,0.013227736,0.020971814,-0.0062641324,-0.0027672867,0.04788694,0.008451675,0.036355477,0.49582255,0.0077770064,0.030524053,0.027912494,0.08979177,0.24680533,0.06874387,-0.0031875176,0.022714194,0.07630908,0.028630732,0.34383756,0.032552805,0.024746828,0.093251735,0.20259005,0.18622623,-0.005414009,-0.0034733175,0.012205875,-0.0024379727
6,BRACS_1231_N_38,0,-0.007402842,0.026483584,0.44373015,1.0634574,0.13335305,-0.013878949,0.33223248,0.37332845,-0.011807945,0.034177717,0.36205894,-0.015191561,-0.011919365,0.0017613636,-0.0012703536,0.70591956,-0.012753706,-0.0050115124,0.032661833,-0.007761931,0.23175475,0.10332855,-0.000823501,-0.004198875,-0.00840816,1.1243339,0.0006145922,0.021414762,0.35130242,0.079190664,0.24029224,0.008837083,0.5515439,-0.007825195,0.18670288,-0.0042861206,0.023332208,0.004623772,-0.0076443697,0.0029013816,0.02895987,-0.0068816766,0.019631075,0.5730238,0.21192715,-0.006365153,0.012376221,0.09895328,0.028505262,0.034516945,0.001310421,0.019603103,0.14176072,0.024258003,0.39101195,-0.0028311661,-0.00825703,0.1682898,0.04103881,1.3222969,-0.005915669,-0.0042252126,-0.010210558,0.0023630385
7,BRACS_1231_N_45,0,-0.011626195,-0.036581594,0.08946096,2.6333783,-0.008687678,-0.049618747,0.046394184,0.6097437,-0.028860318,0.16679019,1.2357469,-0.009382636,-0.036754623,0.14836267,-0.01358519,0.86235404,-0.012546432,0.12028424,0.24281637,-0.035825744,-0.020528313,-0.017825464,-0.0016627777,0.101234965,-0.0264393,1.2109087,0.12658037,0.1399623,1.5794765,0.22416611,0.41482317,0.0048601213,0.38099054,-0.009764825,0.3164807,-0.016826244,-0.018383404,0.0056556,-0.024861908,0.021816634,-0.0038011868,-0.008115201,0.29416203,1.6896976,0.1543036,0.07060826,-0.034993716,0.20890212,0.24376261,0.017376537,0.082161896,0.063174374,0.1030148,0.09316104,0.29094788,0.03932373,-0.034418788,0.25557104,0.27195752,1.4846596,-0.021935292,-0.013601956,-0.03117326,-0.017063607
8,BRACS_1231_N_51,0,0.0071794414,0.007360523,0.22060603,0.28531706,0.009659753,-0.0075915903,0.17680295,0.16436584,0.050753377,0.30443743,0.12652268,0.039283242,-0.0053616487,0.105870694,0.09579527,0.22687319,0.046740312,0.005835989,0.026942136,-0.0036716273,-0.006142101,-0.0068017654,-0.000565129,0.06302963,-0.00072505814,0.2350596,-0.00070020027,0.03793535,0.07629766,0.76124907,0.02139226,0.10112815,0.18940985,0.06722604,0.8899531,0.021811752,0.0070039486,0.04971153,-0.0047460175,-0.0021039357,0.11393509,0.030490207,0.052932803,0.6334363,0.017279636,0.031692296,0.05040024,0.26401743,0.4647939,0.10171384,0.034493618,0.025789585,0.20682189,0.018820548,0.7381413,0.06900951,0.013260769,0.2768416,0.50308156,0.15544674,-0.0040701698,-0.0025895876,0.0017120488,-0.003094955
9,BRACS_1231_N_52,0,-0.0048036925,0.007636468,0.31818268,0.537908,0.01803368,-0.012078583,0.21589595,0.31565255,0.02249026,0.19748683,0.24528386,0.0150395,-0.010009065,0.02314326,0.0029272186,0.50567013,0.016594741,-0.0056306235,0.036530647,-0.007667325,-0.00050726277,-0.0033192106,-0.00078736804,-0.0026202323,-0.006420486,0.6089294,-0.000720531,0.048099253,0.24365403,0.45612037,0.05096537,0.04850136,0.31148487,0.0416022,0.6406076,-0.0039989315,0.0088128885,0.028661799,-0.006873859,-0.0025743316,0.045065496,0.01271365,0.046067026,0.67079926,0.06296043,0.008570667,0.025369227,0.15557438,0.28910053,0.06730261,0.0024101217,0.025925966,0.23680043,0.026511395,0.6528938,0.028748918,-0.0014003398,0.22080296,0.30565098,0.48573983,-0.006487194,-0.003913622,-0.008696233,-0.004850444
10,BRACS_1231_N_54,0,0.0044592763,0.017914858,0.31416586,0.5382251,0.046218984,-0.009840217,0.15741289,0.36267164,0.020031912,0.18461299,0.12430405,0.0071416087,-0.008469853,0.02588804,0.03664606,0.6703957,0.010045281,-0.005425851,0.026543325,-0.004778255,0.018104639,0.0013880096,-0.0007432631,0.017665414,-0.0023134614,0.8148208,-0.00076218625,0.030715628,0.15074477,0.41121474,0.06743903,0.042573053,0.19724517,0.025538059,0.5082299,-0.0013331448,0.017340021,0.021394068,-0.0056445054,-0.0019097619,0.07530517,0.0072150514,0.03483578,0.4398705,0.12439643,0.0046578413,0.028981946,0.2260275,0.2526052,0.06969635,0.032610368,0.022099523,0.172848,0.02639428,0.6313921,0.018569678,0.005699984,0.2902696,0.23603599,0.56575,-0.0048185983,-0.0030119028,-0.0073179016,-0.003738668
11,BRACS_1231_N_58,0,-0.006599747,0.06352138,0.3338011,0.65905696,0.10751835,-0.0030963598,0.33252183,0.10437552,0.01432603,0.028432582,0.33571696,-0.0076912655,0.007895328,0.009113184,0.004461064,0.19189231,0.0011380846,-0.0034052606,0.016777132,-0.00020170744,0.13879247,0.057415854,-0.0008282787,-0.0037956636,0.025774851,0.5272656,-0.00036048694,0.019703576,0.22679134,0.11785933,0.18342176,0.019026252,0.5276897,0.021939924,0.23259233,-0.0011834728,0.042595845,0.012690065,0.01898186,-0.0022393048,0.043412652,-0.0003080048,0.0025617273,0.62538844,0.08570901,-0.0023388786,0.04220192,0.07044906,0.031074634,0.05985659,0.006302117,0.020306297,0.10201155,0.021347083,0.38729858,0.043740742,0.0116577875,0.04540509,0.09947662,0.6581451,-0.0016935936,-0.0034862007,0.018370602,0.014726452
12,BRACS_1231_N_60,0,-0.0034674637,0.066807784,0.37633112,0.40563643,0.26996893,-0.006130062,0.19872372,0.37108007,0.0102144405,0.14053921,0.08745482,-0.0017857774,-0.005226385,0.02189768,0.03269444,0.67104274,0.0016227289,-0.00376321,0.007068276,0.016741268,0.27167132,0.13169414,-0.00059585413,0.006442267,0.0051962,0.850558,-0.0006937213,0.012000742,0.0650158,0.2994084,0.103134505,0.035132922,0.235628,0.013804584,0.3939608,0.008488653,0.075579785,0.021145979,-0.0034159778,0.010518533,0.105821796,0.004166098,0.010078457,0.35889196,0.29481888,-0.0014890023,0.0491686,0.28375924,0.14400674,0.07563384,0.021372072,0.02246053,0.1317746,0.014523055,0.6502479,0.00927212,0.026040154,0.36384153,0.16590822,0.64480966,-0.0015901133,-0.001775806,-0.0051318333,0.01555179
13,BRACS_1231_N_61,0,0.060977325,0.0005493742,0.34100625,0.5198061,0.7696642,-0.0072413483,0.076141275,1.0114268,-0.0017251836,0.24462874,0.115631595,0.0047465097,-0.007168282,0.079596326,0.13761571,1.8782884,0.008314478,-0.0022770613,0.019156536,0.03762465,0.47148487,0.24028495,0.0018612441,0.19512154,0.011979818,1.877757,-0.0010521067,0.051560275,0.17495202,0.35740572,0.08327944,0.015950637,0.1575608,0.010271145,0.49490875,0.018839872,0.100990966,0.013641866,-0.0035654365,0.23096295,0.24967518,0.0056234533,0.059011973,0.41148186,0.9478846,-0.0007692757,0.01763897,0.7739291,0.21539725,0.12319341,0.23588835,0.03466978,0.16265859,0.043392994,0.6575652,0.016712703,0.040359337,0.9311474,0.19162482,1.1477149,0.07979782,0.035157684,-0.0055149565,0.007010314
