,image_name,image_label,feat_0,feat_1,feat_2,feat_3,feat_4,feat_5,feat_6,feat_7,feat_8,feat_9,feat_10,feat_11,feat_12,feat_13,feat_14,feat_15,feat_16,feat_17,feat_18,feat_19,feat_20,feat_21,feat_22,feat_23,feat_24,feat_25,feat_26,feat_27,feat_28,feat_29,feat_30,feat_31,feat_32,feat_33,feat_34,feat_35,feat_36,feat_37,feat_38,feat_39,feat_40,feat_41,feat_42,feat_43,feat_44,feat_45,feat_46,feat_47,feat_48,feat_49,feat_50,feat_51,feat_52,feat_53,feat_54,feat_55,feat_56,feat_57,feat_58,feat_59,feat_60,feat_61,feat_62,feat_63
0,BRACS_1487_FEA_15,0,-0.00788744,2.2930102,2.0236838,0.38171163,1.9723011,1.3471957,0.8688702,1.5350881,0.021421678,-0.0076267202,0.6270641,-0.0029640868,0.00092376093,0.1150807,0.80937654,0.15815373,-0.0014836545,2.6830144,1.5701169,0.6905921,0.7357054,-0.01203298,1.6160411,1.2605094,1.957603,0.10762374,0.0835713,1.8581556,-0.008589911,1.5459484,-0.006131173,1.866884,1.3339921,1.5061679,-0.005107633,0.08092304,-0.013985006,0.2924514,0.11033234,-0.002308547,1.115165,0.18863888,-0.00069159694,0.05339225,1.1118929,0.007852829,1.6929965,0.020568969,0.11292796,1.5312848,0.013783458,0.048457824,0.038948145,2.0392387,1.7254713,1.2195821,0.34835398,1.0440329,0.12895608,1.0471584,0.5042351,1.7126268,-0.008783156,0.029095622
1,BRACS_1487_FEA_16,0,-0.0075911707,1.8471742,1.4113078,0.38144034,1.1169832,1.4119649,0.6691594,0.9935141,-0.0074070073,0.05084261,0.2964665,-0.00932091,-0.0039360267,-0.0051383157,0.37624368,0.05105214,0.0018215434,2.2320545,1.2574325,0.7577486,0.49173686,0.0081353,1.1605309,0.77184594,1.5646785,0.01212543,0.015936757,1.1468846,-0.004776449,0.625474,-0.002109432,1.7907205,1.020813,1.1286062,-0.0045270026,0.04597491,-0.0006899216,0.25342104,-0.003285715,0.0010774208,1.0802914,0.018217186,0.0066924407,0.024614664,1.0578647,-0.006522459,1.1049874,-0.0020259176,0.03881632,1.3039265,-0.0038885567,-0.0030390727,0.0013405088,0.973321,1.7143736,1.09576,0.24876115,0.83878183,-0.0024028185,0.5906004,0.3321887,1.5816127,0.0061025075,0.23013929
2,BRACS_1487_FEA_19,0,-0.0005529699,1.4425733,1.0123472,0.3220991,0.84996367,1.0036596,0.43470508,0.7828738,0.008545247,0.086252056,0.24455146,0.005238802,-0.004911707,0.003481488,0.25290108,0.0038873467,0.039406143,1.5945526,0.9571781,0.48252392,0.3498322,0.043434147,0.8320255,0.6610105,1.2226547,0.042597402,0.070890956,0.8383175,0.004206805,0.38820213,0.026249006,1.2031201,0.758133,0.6931679,-0.0046966122,0.020243503,0.022620892,0.21651396,-0.0021971308,0.061574195,0.8125901,-0.0007214567,0.010475285,0.056951202,0.80928266,0.009402208,0.7762628,0.006384707,0.050327815,0.94498724,0.030980898,0.024949586,-0.0022956685,0.7458501,1.1751034,0.7530367,0.2810938,0.6269778,0.012631186,0.46755636,0.36824235,1.0798756,0.0076539596,0.22544831
3,BRACS_1487_FEA_22,0,-0.011015578,2.7234926,2.2182765,0.48400247,2.0326798,1.8212327,1.0875926,1.5822251,-0.012180521,-0.0052244673,0.61121166,-0.015456182,0.023113776,0.014883579,0.74769884,0.19560386,-0.0036977471,3.377595,1.8702722,1.0118035,0.88349813,-0.010053361,1.8809804,1.2994422,2.2424986,0.043068707,2.3739412e-06,2.0090237,-0.008757413,1.3982356,-0.01489862,2.5906894,1.5473373,1.9245819,-0.0047638733,0.05313361,-0.013315972,0.32367834,-0.0025134394,-0.024033356,1.43695,0.24845289,0.024496593,0.038536534,1.5028095,-0.008367406,1.8818065,-0.0044769226,0.10046823,1.9687546,-0.0014656762,-0.015013627,0.025860846,1.9186703,2.4572918,1.6518807,0.29494274,1.3448044,-0.0028473362,1.0374768,0.5097279,2.2974942,-0.0043420107,0.108869456
4,BRACS_1487_FEA_23,0,-0.0013368737,1.6290444,1.2376052,0.29838035,1.1163048,1.0917965,0.51387984,0.96253383,0.014314963,0.020180961,0.30974096,0.014543304,-0.0018018511,0.014188658,0.3441486,0.03998364,0.01954691,1.8161314,1.1616366,0.54627806,0.38398948,0.01125144,0.9332338,0.7795452,1.4203043,0.06750775,0.045139022,1.0787783,0.0055400333,0.5343842,0.018251432,1.2914208,0.8410269,0.7656753,-0.004467271,0.017404312,0.006955177,0.23521121,0.023229346,0.045909137,0.99973494,0.03941893,0.0018717755,0.022146452,0.7722526,0.0145275295,0.9694871,0.0059853457,0.07146953,1.0322452,0.024886386,0.033786908,-5.3935684e-05,0.9892771,1.3565329,0.86123,0.31372458,0.71679693,0.062682405,0.59444356,0.31332278,1.1277168,-0.0044409297,0.15484573
5,BRACS_1487_FEA_26,0,-0.0007960996,1.8250468,1.3655776,0.3776736,1.1110654,1.2643144,0.60697985,0.9850188,0.0080259,0.07020413,0.3783162,0.0071339486,-0.0016643886,0.0020419513,0.37215286,0.048983693,0.038665805,2.136032,1.1555623,0.64793736,0.5266772,0.01707354,1.0996777,0.80020124,1.4965334,0.044781923,0.10940661,1.1425623,0.003090508,0.67768306,0.06751822,1.6447934,0.99983776,1.1467246,-0.004743307,0.020018265,0.046586882,0.25624523,-0.0026830982,0.117569275,0.9199192,0.08248442,0.019833384,0.07601589,1.0750601,0.0058637294,1.0782902,0.0049209977,0.08179676,1.2613792,0.047852222,0.03307673,0.013052565,1.0498192,1.4913415,1.0105363,0.2263795,0.8044849,-0.0020702106,0.6379234,0.4384223,1.4631732,0.00667287,0.19004606
6,BRACS_1487_FEA_33,0,-0.007560996,1.9371761,1.6489409,0.29158476,1.4062072,1.4460952,0.72221166,1.1869675,-0.009811942,0.027480675,0.29221526,-0.011279034,-0.0067711323,0.138853,0.58906996,0.1492348,0.0009900235,2.3419755,1.576672,0.73319775,0.4774517,0.025031848,1.2775046,0.95396924,1.7915999,0.13751268,-0.0071586566,1.4200284,-0.0072423033,0.9555387,-0.011693503,1.6358048,1.041249,0.94487983,-0.0049409117,0.038231503,-0.005479744,0.28006577,0.02543424,-0.013185877,1.2890543,0.09220689,0.008811903,0.017003402,0.84342474,-0.004744014,1.2453884,-0.0008317042,0.061763167,1.2760671,-0.008819271,0.007995751,0.0022719114,1.3949937,1.8406631,1.1468685,0.37935677,0.8936423,0.06918858,0.6727528,0.33678693,1.4655046,0.002201879,0.15991445
7,BRACS_1487_FEA_6,0,-0.002559616,1.4549829,0.9759797,0.3362362,0.73713225,1.0871462,0.45059064,0.7384526,-0.000113277114,0.18663543,0.20773412,0.003754623,-0.0043965047,0.001768392,0.25095165,-2.5416653e-05,0.024332555,1.637091,0.9098624,0.5840561,0.37466002,0.07690581,0.86138433,0.55777025,1.1829755,0.012740301,0.100353114,0.735671,-0.0015930815,0.3721026,0.054215662,1.3750862,0.7640423,0.79520416,-0.0047762683,0.040590577,0.06577616,0.26282853,-0.0035733639,0.11760344,0.80926615,0.0002691647,0.041007333,0.07251952,0.9139371,-0.005004106,0.7692028,0.0035747532,0.06302994,1.0095568,0.037537005,0.0043456,-0.0026094997,0.627991,1.2821856,0.805848,0.21051413,0.6619809,-0.0023870668,0.4154953,0.35324803,1.2274187,0.027519759,0.28249723
8,BRACS_1496_FEA_13,0,-0.00422947,1.721098,1.4053133,0.2754418,1.1972555,1.2599725,0.60265946,1.0361599,0.012439593,0.013999143,0.2871582,0.008655878,-0.004166769,0.039253127,0.3989784,0.09329186,0.0020398318,2.0548816,1.3031696,0.67380124,0.4126779,0.02457265,1.0460509,0.8208892,1.5308759,0.085072435,0.06695742,1.1798092,-0.0019099974,0.67164856,-0.0042715664,1.4734311,0.9106395,0.8779814,-0.0044476716,0.04864542,0.010902445,0.2633276,0.042012636,0.029199919,1.1101636,0.07390898,0.009138673,0.037597615,0.80641323,0.006405077,1.0963945,0.0046682246,0.059170883,1.1389424,-0.005236734,0.020327868,0.0010879288,1.1268653,1.5962967,0.9959334,0.30790514,0.78624773,0.084869914,0.6239124,0.30941036,1.3100898,0.0019127973,0.16267532
9,BRACS_1509_FEA_10,0,-0.012757996,3.2618105,3.0056534,0.47402206,2.8636084,2.1328115,1.4157596,2.2012212,-0.0062843375,-0.012553204,0.7805979,-0.014207804,0.0056006745,0.4159428,1.4224815,0.4222535,-0.006295288,4.0002074,2.5991013,1.0544027,1.0283242,-0.01624646,2.5081203,1.780507,2.9378037,0.24287194,-0.01631996,2.8449357,-0.014809053,2.4458394,-0.021850975,2.7827723,1.9167565,2.0605237,-0.0057587675,0.046468984,-0.022471178,0.38787457,0.104789004,-0.038638696,1.8901978,0.33378926,0.0055119554,0.023537457,1.3754433,-0.0076622004,2.4739866,0.012702987,0.17951833,2.197428,0.0049526375,-0.00014019861,0.033313572,3.0151572,2.8437119,1.9065806,0.54247546,1.6106381,0.12822857,1.3442109,0.57881457,2.4782045,-0.01026218,0.029460214
