,image_name,image_label,feat_0,feat_1,feat_2,feat_3,feat_4,feat_5,feat_6,feat_7,feat_8,feat_9,feat_10,feat_11,feat_12,feat_13,feat_14,feat_15,feat_16,feat_17,feat_18,feat_19,feat_20,feat_21,feat_22,feat_23,feat_24,feat_25,feat_26,feat_27,feat_28,feat_29,feat_30,feat_31,feat_32,feat_33,feat_34,feat_35,feat_36,feat_37,feat_38,feat_39,feat_40,feat_41,feat_42,feat_43,feat_44,feat_45,feat_46,feat_47,feat_48,feat_49,feat_50,feat_51,feat_52,feat_53,feat_54,feat_55,feat_56,feat_57,feat_58,feat_59,feat_60,feat_61,feat_62,feat_63
0,BRACS_1231_N_10,0,0.0019286665,0.17999135,-4.24657e-06,0.20293011,-9.3952417e-07,0.08471687,1.3966788,0.0030148495,0.046062957,0.00078131456,0.038141154,0.046312746,0.0060342127,0.62716717,0.66974413,-2.4364575e-05,0.1838353,0.01831414,1.0517473,-0.0008762961,0.63853836,0.13575244,-2.9667965e-05,0.01351522,2.1119623,0.17772307,-2.7125425e-05,0.1850567,0.3050653,0.0012686425,0.04018082,-0.00028535543,0.72635037,0.12115744,0.004428372,1.3417809,0.2314833,0.00023288568,-6.533653e-05,0.0009130886,0.02300783,0.056446414,0.2759384,-3.307792e-05,2.000094,0.03276093,-5.304898e-05,-0.00032401897,-2.8395123e-05,0.03897478,-6.9112545e-08,-9.9571e-05,1.3238069,0.0001311096,0.029583085,-0.00021073164,-0.0004394331,0.009944595,0.013766899,-4.39556e-06,-2.1077826e-06,-0.0013618614,0.20130031,0.1851849
1,BRACS_1231_N_18,0,0.006125434,0.1655725,5.598471e-07,0.19951646,-9.611853e-07,0.055957697,1.380802,0.0034776148,0.07458801,0.00078593893,0.035854384,0.05619474,0.004930511,0.58285093,0.6815778,-2.3811235e-05,0.13714503,0.022744866,1.0516073,-0.0009835565,0.62320334,0.15698062,-1.5874615e-05,0.049929406,1.9854032,0.14755648,-8.353945e-05,0.2006784,0.2828116,0.003336583,0.058068354,-0.00024115415,0.6920204,0.12660386,0.003971655,1.2958403,0.2563278,0.0010614066,-6.375958e-05,0.0017354091,0.036634065,0.12075568,0.28790212,-2.7201906e-05,1.9543594,0.045385044,-4.590066e-05,-0.00047550027,-2.95272e-05,0.06489779,-6.891348e-08,-9.9836565e-05,1.3372163,0.0028969431,0.102707915,-0.0002026712,-0.00043787548,0.035846476,0.020018624,-4.4845538e-06,-2.7942078e-06,-0.0012949907,0.21374883,0.24078405
2,BRACS_1231_N_27,0,0.005469246,0.17622386,2.3679836e-06,0.20024979,-9.094794e-07,0.023607416,1.1849118,0.002953614,0.1521084,0.00078671146,0.030780807,0.14336336,0.0025408948,0.4415631,0.61500007,-2.352022e-05,0.064506896,0.060706954,0.9354753,0.00046006613,0.52689236,0.11615117,-1.657684e-05,0.06904756,1.5956635,0.09630293,-0.00010229181,0.25952235,0.19254619,0.010608675,0.15660392,-0.00020786338,0.5679414,0.12967432,0.0032456538,1.0317084,0.20814036,0.0005937191,-6.330218e-05,0.0021156624,0.03245715,0.220168,0.21896978,-2.0912776e-05,1.6040996,0.048900448,-3.708906e-05,-0.00034556346,-2.9093775e-05,0.13258249,-6.952404e-08,-9.922467e-05,1.1692203,0.010873837,0.14533852,-0.00020092967,-0.00038781937,0.044905663,0.047019355,-4.4929416e-06,-3.1148575e-06,-0.0012663867,0.22372063,0.28236815
3,BRACS_1231_N_28,0,0.0006887431,0.25205293,-2.732253e-06,0.2790729,4.3515888e-07,0.028779294,1.5909396,0.0024256262,0.15908152,0.000858483,0.05150254,0.11850405,0.0072931065,0.6213017,0.85109687,-2.1342346e-05,0.08325956,0.055291858,1.3264403,0.003884957,0.61741227,0.14959055,-2.7744822e-05,-0.0023603765,2.109214,0.13445035,-3.738083e-05,0.1708859,0.24761273,0.012103024,0.14242959,-0.00020989531,0.7133554,0.12911394,0.0044244267,1.3817254,0.19290285,6.29804e-05,-6.18917e-05,0.001325041,0.020408403,0.21566872,0.22396423,-2.4971167e-05,2.051636,0.018587124,-4.0670362e-05,0.00012872923,-2.7106093e-05,0.119650014,-7.0620295e-08,-9.5503616e-05,1.5742545,0.015790276,-0.0040190904,-0.00020505441,-0.0003419235,-0.0010108013,0.042232584,-4.348534e-06,-1.854622e-06,-0.0010867376,0.28170487,0.14965639
4,BRACS_1231_N_32,0,0.001058725,0.20889232,5.400812e-06,0.26327297,-9.835994e-07,0.025412027,1.6260456,0.002025547,0.07544437,0.0008080892,0.042037588,0.056204356,0.006204788,0.6769557,0.84999007,-2.2143897e-05,0.07658975,0.024474926,1.2991047,-0.0008041381,0.6997858,0.108471856,-4.6986497e-06,0.014650269,2.240102,0.15708043,-5.0473674e-05,0.17514858,0.20863044,0.00703163,0.0871505,-0.00023608225,0.7716882,0.120820425,0.004962386,1.510894,0.16581573,0.00010711299,-6.274839e-05,0.0026950338,0.025692577,0.14895429,0.19041702,-2.4263869e-05,2.2564476,0.028860789,-3.9781746e-05,-0.000440552,-2.849801e-05,0.072463766,-6.95528e-08,-9.756298e-05,1.5936378,0.006295002,0.033653747,-0.00020456065,-0.00037214375,0.009946165,0.021832105,-4.357773e-06,-2.0272657e-06,-0.0011137442,0.14925598,0.1701426
5,BRACS_1231_N_35,0,0.002301179,0.25935814,-4.0866425e-06,0.28111172,-9.41038e-07,0.006268138,1.4527255,0.0028487304,0.05483498,0.0008923585,0.043011986,0.019362858,0.007543486,0.5500727,0.80522007,-2.0794101e-05,0.029339366,0.0049485294,1.2564912,0.00030946312,0.49703896,0.10694889,-3.0141535e-05,0.022332828,1.8377879,0.10021186,-6.455299e-05,0.22168817,0.20748618,0.0008532083,0.033675324,-0.00017030454,0.59865814,0.08905174,0.004647517,1.2496564,0.1814892,0.0003338226,-6.0557944e-05,0.0010080985,0.03227016,0.098728135,0.20277776,-1.9419942e-05,1.8143609,0.023747783,-3.315712e-05,-0.00029539893,-2.7608505e-05,0.04192786,-7.0488404e-08,-9.5367985e-05,1.4390068,0.00414659,0.049760103,-0.00019705133,-0.00027523848,0.015600029,0.005245768,-4.4010535e-06,-2.2978859e-06,-0.0008331652,0.12987763,0.20155035
6,BRACS_1231_N_38,0,0.005432034,0.30586612,4.153864e-06,0.33141598,-9.413926e-07,0.010225726,1.7955234,0.0025054961,0.1746872,0.00078381266,0.050621804,0.18288317,0.0050224625,0.6545912,0.97426456,-2.413233e-05,0.047885556,0.076925434,1.497026,-0.00043057883,0.75905997,0.050199796,-8.8665965e-06,0.06576436,2.326401,0.15713677,-0.00010396632,0.2701536,0.22597948,0.013517894,0.20218414,-0.00022570313,0.8324575,0.20078856,0.005919989,1.5294876,0.24676245,0.00027425945,-6.080092e-05,0.002226844,0.04620696,0.24819596,0.25801787,-1.9185522e-05,2.326786,0.060119282,-3.4360717e-05,-0.0004157549,-2.851377e-05,0.15697704,-6.7652635e-08,-0.00010181841,1.7935281,0.010308907,0.14517349,-0.00020104935,-0.0004060988,0.042992692,0.05959424,-4.479136e-06,-3.2693604e-06,-0.0014924906,0.18464927,0.2913975
7,BRACS_1231_N_45,0,0.004593409,0.16329414,1.6451524e-05,0.23655678,-1.0111049e-06,0.043276682,1.7489878,0.00211274,0.13972622,0.0006831756,0.035698395,0.09690627,0.0014184284,0.6899143,0.87142617,-2.4466812e-05,0.1330529,0.04349881,1.3268138,-0.0010703112,0.827475,0.21213292,4.514623e-05,0.0029669676,2.3672302,0.20469873,-8.7162516e-05,0.14167322,0.33820996,0.013430632,0.12382691,-0.0002566868,0.89298993,0.21682699,0.005500428,1.6030387,0.29234585,8.909897e-05,-6.218628e-05,0.0041402015,0.04584487,0.239236,0.34607533,-2.5621868e-05,2.4338725,0.07078307,-4.292429e-05,-0.0005249508,-2.956591e-05,0.12063444,-6.798387e-08,-0.000101361475,1.7262987,0.010956571,0.016865605,-0.00019998458,-0.0004950077,0.01350435,0.02957964,-4.5106026e-06,-2.4964652e-06,-0.0014554121,0.29285505,0.15140818
8,BRACS_1231_N_51,0,0.0013856381,0.11040867,1.0527402e-06,0.14660183,-9.134733e-07,0.069466405,1.0396347,0.0026514982,0.08476416,0.0007948683,0.026287379,0.02382025,0.0031580965,0.43076107,0.5208228,-2.2348137e-05,0.1506945,0.011131879,0.8014628,-0.0008763541,0.47240695,0.28340602,-1.4044467e-05,0.011521404,1.4811991,0.10784124,-4.8927224e-05,0.1701743,0.25521806,0.0036814269,0.041222718,-0.00021853781,0.51855695,0.099961855,0.0030933227,0.97089666,0.2041248,0.00029410992,-6.477879e-05,0.0018797732,0.020238005,0.149434,0.23741731,-3.0327086e-05,1.4783745,0.021463813,-4.9358066e-05,-0.00048965873,-2.8665318e-05,0.058788687,-7.153137e-08,-9.491207e-05,1.016747,0.0030237993,0.02581599,-0.00020233328,-0.00041482647,0.009177266,0.009689023,-4.4248022e-06,-1.978692e-06,-0.0010935186,0.34445193,0.17076598
9,BRACS_1231_N_52,0,0.0016312507,0.26004556,8.6756086e-07,0.3021021,-9.715296e-07,0.048552833,1.8042145,0.002385751,0.12842995,0.000821735,0.053947553,0.09597551,0.0070057497,0.7204864,0.94761175,-2.29163e-05,0.12325562,0.042890813,1.4681054,-0.0007802483,0.775121,0.17848504,-1.6476737e-05,0.0069060177,2.4871578,0.17542683,-4.479864e-05,0.16770262,0.300103,0.0077535766,0.108529,-0.00022916269,0.8721094,0.18112369,0.00618377,1.6310487,0.24464232,0.00026622284,-6.128309e-05,0.0020167793,0.032071315,0.19108027,0.28098455,-2.7827367e-05,2.465446,0.033668574,-4.539661e-05,-0.00041758566,-2.8105283e-05,0.0992419,-6.968168e-08,-9.714605e-05,1.7849964,0.006425613,0.017108433,-0.00020181989,-0.00041162342,0.006010312,0.034618568,-4.389141e-06,-2.0358248e-06,-0.0012570146,0.2808955,0.16331834
