,image_names,feat_0,feat_1,feat_2,feat_3,feat_4,feat_5,feat_6,feat_7,feat_8,feat_9,feat_10,feat_11,feat_12,feat_13,feat_14,feat_15,feat_16,feat_17,feat_18,feat_19,feat_20,feat_21,feat_22,feat_23,feat_24,feat_25,feat_26,feat_27,feat_28,feat_29,feat_30,feat_31,feat_32,feat_33,feat_34,feat_35,feat_36,feat_37,feat_38,feat_39,feat_40,feat_41,feat_42,feat_43,feat_44,feat_45,feat_46,feat_47,feat_48,feat_49,feat_50,feat_51,feat_52,feat_53,feat_54,feat_55,feat_56,feat_57,feat_58,feat_59,feat_60,feat_61,feat_62,feat_63
0,BRACS_1231_N_10,0.93700266,1.3085518,0.68681204,0.35207054,-0.016647529,0.05124278,0.3293318,-0.019862933,1.2296003,0.28220424,2.311134,2.158301,0.87496436,0.008092398,0.046133157,0.09342848,1.0510534,0.39569563,1.7902904,2.0138862,0.99068296,0.28808045,0.34338653,1.7682676,1.6088419,-0.013086297,0.033703547,0.5898446,3.8078792,3.9064922,1.6782366,2.41156,0.0061997776,0.43033016,1.2845538,0.51755726,0.38373438,1.7656245,0.7381012,2.5788326,1.2203441,0.2353961,1.7405936,0.24045296,2.451343,2.3751924,0.9690314,2.3959694,1.2162397,0.3857143,0.2643828,0.23912865,0.1909548,0.1424499,0.117623776,0.047398236,0.25051412,0.69829607,-0.013553412,0.0809784,1.2122383,0.19806924,-0.008855294,2.7641265
1,BRACS_1231_N_18,1.0457172,1.4357615,0.32616594,0.16662669,0.033013415,0.264227,0.21206363,0.008155839,1.535818,0.51923907,3.0811472,2.9296813,0.7636752,0.06789746,-0.005898124,0.25887343,0.8926809,0.79505944,1.6619624,2.5200868,1.6229938,0.35334966,0.2556274,2.8620884,2.1121933,-0.01468531,0.052907344,0.9502454,5.1437054,5.490587,1.8879416,3.250447,0.06984608,0.22330227,1.9395536,0.3306013,0.32892856,1.9013354,1.6401657,2.911827,1.9448358,0.20199679,3.105012,0.06081992,4.120016,2.95896,1.2679756,3.6002274,1.259755,0.22035074,0.48801765,0.13927485,0.19188723,0.028736657,0.00036414794,0.003202288,0.1701815,0.57910013,0.0006809437,0.0312498,1.3005817,0.30647302,0.0004836065,3.6600182
2,BRACS_1231_N_27,0.83955187,1.640556,0.37342605,0.06084247,0.052292433,0.23611146,0.31093934,0.32488015,1.1079317,0.40429288,2.3847349,1.6556684,0.36839858,0.119991414,0.008607496,0.2894379,1.2483726,0.5936723,1.0306,1.6315207,1.0698297,0.36705452,0.16847546,3.1696339,1.2758188,0.059553195,0.14304815,0.3543343,4.3566713,4.6623244,1.9740394,2.9955432,0.030017966,0.4154403,2.1690433,0.19026425,0.37430543,1.2437568,1.081414,2.6106775,2.4001205,0.14477514,2.5495129,0.011745598,3.050755,2.4275146,1.1553798,3.6791804,0.8083141,0.20968053,0.47408655,0.17554283,0.13485394,0.18414964,0.03413585,0.073521174,0.41867638,0.69770557,0.17624447,0.04478911,0.59445596,0.3611925,0.092735894,2.8534794
3,BRACS_1231_N_28,0.87474734,1.745474,0.588667,0.16863689,-0.023335446,0.26714867,0.39471465,-0.019637216,1.6995697,0.2828247,3.410479,2.3377697,0.57774836,0.017230965,0.074394725,0.16980383,1.5526897,0.3099862,2.081221,1.9407774,1.228539,0.58411074,0.15227006,2.3682604,1.4731035,-0.012751565,0.064639255,0.58892435,4.692839,4.8638887,2.393448,3.6234522,-0.007965451,0.7355755,2.3120255,0.47104096,0.7250361,1.6545553,1.1653688,2.738972,2.3161094,0.12052117,2.6991851,0.11227737,3.6433332,1.3088808,1.7251527,3.2929924,1.8829491,0.54530054,0.61735415,0.17395517,0.17254835,0.024018494,-0.003638495,0.010244667,0.14461529,0.94977516,0.0066812253,0.068451256,1.408648,0.19050917,-0.0076235193,2.4852138
4,BRACS_1231_N_32,1.0846275,1.1139826,0.45480457,0.09288877,-0.004459192,0.23122135,0.2352366,0.07340951,1.0369502,0.3893328,1.501399,1.676316,0.6059365,0.04497406,0.11785196,0.03722788,0.77876633,0.63001853,0.7391765,1.7481445,0.71672505,0.16116422,0.28094733,2.331185,1.4685794,0.002367721,0.04268691,0.39150542,3.0872152,3.4637222,1.2830073,1.7742243,-0.0030821976,0.3076218,1.2598176,0.18124108,0.17558374,1.0230507,1.2750671,1.9467791,1.1937186,0.14205492,1.7053989,0.073536456,2.2343624,2.228744,0.63464457,2.745542,0.39334565,0.19350764,0.12779643,0.22303277,0.06690867,-0.002360491,0.09903318,0.0063273595,0.29356483,0.6386102,-0.005578403,0.09441902,1.0574356,0.2129945,0.0021886707,2.4857888
5,BRACS_1231_N_35,0.8623157,1.0044776,0.51126885,0.12562624,0.0049667237,0.29672587,0.38999832,0.07936453,1.385407,0.25560027,2.7427545,2.6514273,0.40624517,0.0055080303,0.0738944,0.14304328,1.0752418,0.37825713,1.642957,1.7621152,1.3010787,0.3953571,0.08374843,1.8353544,1.4320264,0.061593458,0.14069656,0.33173034,3.72554,4.1127033,1.506358,3.1703372,-0.004560552,0.5561807,1.591789,0.57600206,0.43189746,1.390848,1.1262025,2.1986475,1.6216384,0.11383628,2.5390055,0.22810079,2.9446127,1.1402634,1.2083815,2.9064777,0.99526334,0.6403671,0.4019745,0.20735304,0.14844376,0.13000324,0.022411224,0.034789138,0.37870228,0.9005703,0.004571664,0.035330426,1.5803558,0.19418423,0.015401436,2.2222118
6,BRACS_1231_N_38,0.6603279,1.6993812,0.2755613,0.065277904,0.07249365,0.20156059,0.22534607,0.6928678,1.0989916,0.3500919,2.348412,1.4756682,0.30418554,0.2849001,0.08117457,0.27277538,1.0492227,0.48289606,1.0901551,1.4242781,1.2235179,0.3810576,0.12492661,3.830428,1.0323073,0.15843704,0.14682275,0.24583094,4.729078,5.3641496,2.0296485,3.3218539,0.019469708,0.35805845,2.5505931,0.15276034,0.3392777,0.8870054,1.3121387,2.6217341,2.9862974,0.020873109,2.943699,-0.008792224,3.445874,2.4402492,1.2463306,4.1360855,0.7445281,0.15222095,0.599978,0.103202395,0.16972493,0.40083355,-0.012254344,0.07128373,0.61050296,0.47605926,0.38906923,0.016030762,0.6366877,0.56330246,0.12857053,2.6066654
7,BRACS_1231_N_45,0.676105,0.89065456,0.3311521,-0.00023988502,0.24489307,0.64102465,0.28762087,0.041735467,2.9075613,0.30758655,7.4422874,7.9168763,2.1562672,0.18475662,-0.006244155,1.6340266,1.2693236,2.3713648,2.359228,3.6334076,4.9498553,1.4446377,-0.023704404,3.5361216,3.8656046,0.010758822,-0.020829825,2.2553737,8.221107,8.462242,2.6390417,7.4331727,-0.01654979,0.39632848,1.3778514,0.31323656,0.27265465,4.6986184,1.940999,4.846767,2.474759,0.024593385,5.876196,-0.012786678,7.7064633,2.3000057,4.5296183,6.0070853,0.9818835,1.6528183,0.34961247,0.17169897,0.19239984,0.25600913,-0.0066479933,0.5003996,2.3013406,0.5216765,0.049103443,-0.014394942,1.4885764,0.0468079,-0.02150852,4.752373
8,BRACS_1231_N_51,0.55897504,1.0349156,0.43468553,0.23453932,-0.015578393,0.37100708,0.19738623,-0.015369604,1.2433509,0.21721897,2.4983523,2.869554,0.64766586,0.10642726,0.1047248,0.2873403,0.9830638,0.24173158,1.3255005,1.2504842,1.3484015,0.28184927,0.017460462,1.5704867,0.9425898,-0.007930096,0.07925366,1.0730917,3.1908445,3.4337704,1.0968341,2.6419282,-0.010382122,0.37977883,1.0458487,0.38713673,0.6703111,1.8764771,0.93376195,2.1108658,1.1127126,0.513448,2.4257593,0.16314796,2.565714,1.3944974,0.9572198,2.332183,1.1577997,0.21314755,0.40166533,0.34206033,0.12555344,0.4628718,0.022278655,-0.012596917,0.23714487,0.75061876,-0.0023184791,0.16296804,1.1465234,0.09861232,-0.012126899,2.0540757
9,BRACS_1231_N_52,0.643039,1.0732917,0.3344216,0.119075894,-0.0203124,0.4575408,0.29664773,0.06442273,1.4328918,0.5057822,2.7636566,2.916738,0.46036404,0.010880442,0.07394934,0.14059006,0.87384266,0.30897516,1.3419961,1.6492718,1.3469695,0.2346499,0.18467955,2.2340543,1.3514489,0.022080552,0.050265018,0.8739508,4.042722,4.436524,1.413504,2.8438578,-0.008682625,0.37066758,1.5623295,0.38945886,0.3300154,1.4996815,1.6311047,2.027825,1.619976,0.16642986,2.952283,0.2403283,3.3123019,1.4521519,0.91928256,2.9344084,0.9836788,0.28422955,0.3271712,0.14366849,0.0757392,0.07513149,0.020437125,-0.007580054,0.34110478,0.760807,0.03947074,0.0019154513,1.6291065,0.13377298,-0.011981442,2.2421074
