,image_name,image_label,feat_0,feat_1,feat_2,feat_3,feat_4,feat_5,feat_6,feat_7,feat_8,feat_9,feat_10,feat_11,feat_12,feat_13,feat_14,feat_15,feat_16,feat_17,feat_18,feat_19,feat_20,feat_21,feat_22,feat_23,feat_24,feat_25,feat_26,feat_27,feat_28,feat_29,feat_30,feat_31,feat_32,feat_33,feat_34,feat_35,feat_36,feat_37,feat_38,feat_39,feat_40,feat_41,feat_42,feat_43,feat_44,feat_45,feat_46,feat_47,feat_48,feat_49,feat_50,feat_51,feat_52,feat_53,feat_54,feat_55,feat_56,feat_57,feat_58,feat_59,feat_60,feat_61,feat_62,feat_63
0,BRACS_1231_N_10,0,0.8042571,0.008873954,0.09957607,0.011999204,0.024896637,-0.00018404906,0.5304079,0.0731007,0.010862359,0.1058064,0.86835164,0.0013366911,0.01052696,0.015992887,0.03607949,0.55784273,0.035666008,0.013211205,-0.000265732,0.2841402,0.010602415,0.1727857,0.13051553,0.014339082,-0.0013078955,-0.0011138571,0.21394543,0.021218376,0.013562863,0.027997637,-0.0015959293,0.16319387,0.3252475,0.06028575,0.084520884,0.09241953,0.30148083,0.107573174,0.018395256,0.02573083,0.02354981,0.9380331,0.28319654,0.770468,0.015300427,0.014301524,0.70624155,-0.00026366446,1.080342,0.04370541,0.051161863,0.04919909,0.5568293,0.85916656,0.03177125,0.0032855237,0.09588903,-0.0015889665,0.019664144,0.21493265,0.025780706,0.0638298,0.053393953,0.010992099
1,BRACS_1231_N_18,0,0.65390456,0.05098275,0.07380485,0.07622432,0.041497376,0.022300502,0.8254797,0.1659793,0.053720117,0.23920718,0.7055162,0.049103666,0.0587743,0.050970107,0.25696826,0.8698419,0.102705434,0.02000794,-0.00024310943,0.536892,0.016230995,0.21880114,0.11949759,0.2868792,-0.0029906896,-0.0012335315,0.32092962,0.23588789,0.08332735,0.15002577,0.046610277,0.37192515,0.1783807,0.20584704,0.19099727,0.43312085,0.71947664,0.17502314,0.08664512,0.06916892,0.11517914,0.74966353,0.41704497,0.60366166,0.04730438,0.04023235,0.4915319,-0.00021217931,0.75663924,0.16107737,0.22869742,0.3267939,0.97414213,0.39086172,0.09949263,0.03925813,0.41556033,0.004122281,0.10892762,0.34822547,0.25231737,0.21515034,0.12335342,0.040470283
2,BRACS_1231_N_27,0,0.5855603,0.032603126,0.05516419,0.088127926,0.10458896,0.044307955,0.79977274,0.13903143,0.05533092,0.21228959,0.5624172,0.04667665,0.053366397,0.029117038,0.20948903,0.79187137,0.08488072,0.027759483,-0.00022205696,0.43121615,0.01019408,0.20136258,0.07819094,0.22549438,0.0005919347,0.0028593806,0.34338376,0.21543859,0.09900333,0.10521199,0.044890773,0.29544714,0.12791635,0.13885574,0.1728744,0.17512119,0.5989036,0.12563765,0.043304577,0.04228376,0.092776336,0.6612145,0.33696783,0.6049831,0.062430494,0.054745745,0.42619604,-0.00017218417,0.6652552,0.1476056,0.18738234,0.2076689,0.86229724,0.30530256,0.077600904,0.01885456,0.23240092,0.0061669815,0.15687229,0.26717782,0.13977253,0.13333133,0.11808063,0.07739312
3,BRACS_1231_N_28,0,0.1304673,0.119388744,0.09015144,0.2327124,0.3187452,0.16831379,0.18552893,0.027960567,0.19468182,0.043516442,0.13840234,0.19396858,0.27081263,0.069791816,0.29890984,0.2139753,0.22654873,0.12686461,-0.00019319834,0.09651304,0.013439829,0.3922524,0.03668466,0.30394074,0.0025431914,0.009790593,0.11629523,0.43963104,0.2583583,0.38050133,0.17113602,0.060734402,0.080160104,0.4459571,0.031558815,0.12676288,0.12583657,0.33006305,0.085098565,0.01841949,0.33707836,0.16627371,0.071077794,0.14198975,0.32421553,0.32935297,0.13847333,-0.00012562463,0.16072494,0.36175308,0.30606544,0.2152321,0.17126566,0.110853404,0.29258025,0.05705541,0.18504436,0.02899991,0.5062371,0.5571635,0.28460446,0.32989898,0.020303445,0.2959322
4,BRACS_1231_N_32,0,0.37005055,0.03177328,0.06416884,0.055170078,0.10231692,0.032600697,0.24547145,0.019490661,0.0525888,0.031752914,0.41173452,0.011271343,0.032472223,0.014929265,0.20382647,0.30317762,0.046654586,0.026442867,-0.00023478328,0.11939258,0.009333801,0.1428736,0.077923656,0.19541033,0.008695977,0.004006723,0.1151922,0.14889435,0.0850533,0.039932717,0.011839321,0.038574185,0.18794216,0.045843266,0.03296609,0.16037875,0.09235913,0.06601469,0.03889732,0.004057545,0.02663293,0.3819268,0.086565435,0.41866484,0.03799651,0.024304034,0.37311682,-0.0002097148,0.5092684,0.091333896,0.18191764,0.2695578,0.24097472,0.4358968,0.028051633,0.00781543,0.3081249,0.0057356684,0.114625804,0.16481233,0.10293991,0.057453997,0.02670373,0.04139961
5,BRACS_1231_N_35,0,1.1851639,0.04363586,0.10350113,0.0042038653,0.030401733,0.014908143,0.6627658,0.045739822,0.03532975,0.08298054,1.1469299,0.012404378,0.025719475,0.0203106,0.034067385,0.5825441,0.020748325,0.025879731,-0.00030290164,0.39232355,0.0029799873,0.093157925,0.21949434,0.043936405,-0.0011174867,0.0019437051,0.31606552,0.043494657,0.0288626,0.03421065,0.008227307,0.060365263,0.3186223,0.042875372,0.18374489,0.04040479,0.1784984,0.030602895,0.030530792,0.0061022495,0.051451966,1.4207524,0.4344225,1.2881716,0.037994824,0.03636149,1.2052135,-0.0003214421,1.5035866,0.07071034,0.05919528,0.034186605,0.73313713,1.1605426,0.0154625755,0.00548614,0.008780793,-0.00091753225,0.05316822,0.12531917,0.049315754,0.052312043,0.10856564,0.0334083
6,BRACS_1231_N_38,0,0.8415877,-0.002850667,0.075572394,0.0051975874,0.054838877,0.002513079,0.9394946,0.10627985,-0.0015467118,0.18853366,0.7274649,0.01557035,0.06124272,0.011140675,0.025524689,0.7818032,0.03151688,0.008049236,-0.00023840857,0.38331363,0.007957203,0.19660957,0.07493492,0.024186254,0.019667633,-0.0012345982,0.43902403,0.026321184,0.023607817,0.08534454,0.008591356,0.21301693,0.092012286,0.10595845,0.18148081,0.004238661,0.4695103,0.102112934,0.006322515,0.027130378,0.10810915,0.9300679,0.39523935,1.0166075,0.019553091,0.060564082,0.7773921,-0.00022423723,1.0502353,0.07882734,0.028613355,0.0058791717,0.91766924,0.5492257,0.039990775,0.008893994,-0.0030174637,-0.002252924,0.04769282,0.2405367,0.010981771,0.0883562,0.13275653,0.05152243
7,BRACS_1231_N_45,0,0.59342796,0.04919918,0.08337471,0.049872052,0.032563966,0.0052876775,0.11316085,-0.002189013,0.028213585,0.007207231,0.60800093,0.03815909,0.04989189,0.024509603,0.102340885,0.13738261,0.057660043,0.018210068,-0.00026906238,0.21253192,0.00923005,0.21690504,0.17481251,0.12846954,0.0016422933,-0.0003865156,0.0344375,0.09759758,0.040827457,0.14789926,0.024512751,0.0030169587,0.3250414,0.15369011,0.024748145,0.3723698,0.022921292,0.15540089,0.13169353,-0.002095737,0.14688471,0.6684115,0.11853363,0.5008332,0.025199512,0.06793233,0.70635223,-0.00034729042,0.7873433,0.16670018,0.13382913,0.20698458,0.1650273,0.7508559,0.089180686,0.037034195,0.30895445,0.0048145964,0.076331854,0.31360623,0.1590409,0.17890577,0.026280144,0.0625109
8,BRACS_1231_N_51,0,3.24071,0.06945921,0.14525229,-0.017627623,-0.038380127,-0.017470796,0.8196994,0.17780888,-0.014313211,0.118928045,3.5377772,-0.020122781,-0.036532696,0.025777113,-0.004609004,0.87688076,-0.01372521,0.04389263,-0.000608131,1.4698335,0.0068663093,0.0032109749,1.0022913,0.060334697,-0.0044662263,-0.00083577883,0.41553342,-0.00054400315,-0.0031543255,-0.024104752,-0.016910091,0.12837146,1.0361814,-0.03003463,0.573593,0.09082874,0.41896424,-0.026378425,0.022990482,0.0035942686,-0.01602798,4.0877934,1.0315567,3.2519603,-0.021230442,-0.027314806,3.4136763,-0.00063853734,4.16656,0.007100851,0.0007154609,0.01803117,1.2629874,3.3356404,-0.027526522,-0.0012752333,0.015226625,-0.006551686,-0.012645302,-0.015595145,0.028044708,0.0018444804,0.32705876,-0.030013498
9,BRACS_1231_N_52,0,1.4844617,0.046141174,0.10975906,0.016424716,0.035183627,0.018357804,0.57648635,0.06422368,0.0313476,0.08310532,1.528009,0.013377157,0.034874506,0.027241308,0.042523265,0.5396004,0.022698835,0.041861918,-0.0003488314,0.5423264,0.0061009135,0.06938017,0.36754882,0.071050055,0.00020666268,0.001528616,0.30653396,0.073295206,0.043150168,0.039323423,0.0034752921,0.038481593,0.46740606,0.031374656,0.20131616,0.055608176,0.16989432,0.01467607,0.033945836,-0.0019663128,0.039399274,1.8017883,0.4508459,1.5297176,0.049378395,0.040668294,1.5427817,-0.00036554094,1.9174274,0.07706774,0.05023539,0.05391276,0.67817837,1.5523071,0.018829428,0.005857805,0.018756174,-0.0027263109,0.076519996,0.08300951,0.057099424,0.048084293,0.12088771,0.036614254
10,BRACS_1231_N_54,0,1.493328,-0.0032286968,0.07113528,-0.012587722,-0.021841621,-0.010328437,0.68854845,0.07741643,-0.014620732,0.112186916,1.6589746,-0.010943227,-0.02134382,0.016383551,-0.0054602954,0.79241323,-0.008642654,0.0010057706,-0.00036822277,0.43219715,0.0072383643,0.040626314,0.20258392,0.0075537283,-0.0031094002,-0.0034283511,0.23973997,-0.015391756,-0.013428728,-0.013297951,-0.0117953215,0.17519931,0.4454618,-0.023399737,0.106170125,0.26374695,0.32254776,-0.019427393,0.012267018,0.027466051,0.0001238632,1.6886013,0.54731363,1.4553465,-0.022803565,-0.01694769,1.4717151,-0.0004416218,2.024699,0.006430008,-0.010357094,0.02048856,0.87415314,1.6355901,-0.018478055,-0.0011997124,0.25653318,-0.00524359,-0.019354517,0.03127017,0.005505378,0.008510544,0.06163274,-0.020789014
11,BRACS_1231_N_58,0,0.42941457,0.04831444,0.14440072,0.08612507,0.32411203,0.12338107,0.42779317,0.012328531,0.123971544,0.0420204,0.3166534,0.18152559,0.38969016,0.02677087,0.09149368,0.27072215,0.17252615,0.085238256,-0.0002142463,0.120091304,0.0023535502,0.61643857,0.050465964,0.06507926,0.06516973,0.0062012495,0.24068998,0.17421201,0.16816652,0.45607802,0.1490681,0.010628156,0.072710454,0.56630164,0.0785107,0.00984784,0.10063352,0.5012409,0.043188147,0.00044095813,0.40434673,0.5155216,0.11568619,0.6150267,0.2650593,0.38852537,0.42783755,-0.00016227564,0.48052603,0.36281225,0.14250453,0.03970021,0.33402687,0.32424274,0.29731303,0.047922105,0.013114225,0.013777999,0.32103676,0.72064084,0.0946463,0.37364236,0.064533696,0.35477242
